"","Buffer","#Replies","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131"
"1","FB","SecondsFor2Replies","0","0.0294945238279248","0.0255700093905568","0.0398751022115377","0.0547937184496938","0.0663043350325249","0.0710250606775841","0.0682384863427477","0.0602986902297195","0.0510667371947683","0.0436973714011055","0.03940374362902","0.0376776981969287","0.0372650983269158","0.0370085175617042","0.0361979304534462","0.0345537264092214","0.0320834611554901","0.028951808299572","0.0253946376538788","0.0216648402604024","0.0179961221655096","0.0145790030973557","0.0115477373141826","0.0089774019240465","0.00688936731460743","0.00526238813035662","0.00404623039411967","0.00317510294946821","0.00257895832448007","0.00219167331212944","0.00195596319020186","0.00182547668922917","0.00176482069073924","0.00174831541219189","0.00175816607818968","0.00178254492269869","0.00181387833559654","0.00184747045419076","0.00188048263229612","0.00191122570898161","0.00193869716280215","0.00196229416744065","0.00198164439126325","0.00199651091280761","0.00200674124581735","0.00201224124964317","0.00201296234198756","0.00200889540965621","0.00200006783951112","0.00198654182433622","0.00196841303861095","0.00194580926579102","0.00191888880037872","0.00188783856430774","0.00185287193208394","0.00181422628523931","0.00177216032953642","0.00172695121515021","0.00167889150381506","0.0016282860289597","0.00157544869565152","0.00152069926698584","0.00146436018242768","0.00140675345169372","0.00134819766504723","0.0012890051575325","0.00122947936072026","0.00116991237112885","0.00111058275972031","0.00105175364184695","0.000993671021891296","0.00093656242167639","0.000880635796664753","0.000826078739089908","0.000773057962581203","0.00072171905861329","0.000672186511328721","0.000624563953959933","0.00057893464729375","0.000535362158373576","0.000493891215939235","0.000454548717963577","0.000417344866035396","0.000382274401239502","0.000349317916546243","0.00031844322152752","0.000289606736377346","0.000262754893712303","0.000237825528375479","0.000214749237429923","0.000193450694623842","0.00147806849154974","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","FB","SecondsFor3Replies","0","0","0.0638105788654414","0.0223203881610345","0.0276238022664623","0.0333088720146005","0.0391319210347509","0.0447916650871373","0.0499525974211915","0.0542767494136648","0.0574598619178852","0.059266670040439","0.0595596436774848","0.058316319263141","0.0556322022578128","0.051708737460107","0.0468284758363209","0.0413217213361357","0.0355301572836799","0.0297730161259282","0.0243203461437803","0.0193761690350492","0.0150722761625067","0.0114715453264368","0.00857832724858754","0.00635282348995103","0.00472643887942736","0.00361568034443982","0.00293305458715265","0.00259435092200455","0.00252249458910636","0.00264870758307301","0.00291198222848688","0.00325788122150072","0.00363748837979838","0.00400702591578306","0.00432830734036682","0.00456988172353912","0.00470850002653578","0.00473043048110511","0.00463217473552191","0.00442027099636255","0.00411007443629574","0.00372362619799582","0.00328690801286524","0.00282688991381419","0.00236879529258094","0.00193393631933769","0.00153833941376391","0.00418189358961307","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","FB","SecondsFor4Replies","0","0","0","0","0","0.0812206520749998","0.024453807319937","0.0293777912538541","0.0345396972076322","0.039741535963643","0.0447504608269377","0.0493147824807622","0.0531843041577652","0.0561327854470646","0.0579797662259046","0.0586088340829991","0.0579797662259046","0.0561327854470647","0.0531843041577651","0.0493147824807623","0.0447504608269377","0.0397415359636429","0.0345396972076322","0.0293777912538542","0.024453807319937","0.0199205146962425","0.0158811278230133","0.0123905001013207","0.0330285094544234","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","FB","SecondsFor5Replies","0","0","0","0","0","0","0","0","0","0.189815287962095","0.0435748448369621","0.0363310223103732","0.0268336179039286","0.0175565304419713","0.0101754408534164","0.00522419431093896","0.00237592480711118","0.000957168448286916","0.000341570791305923","0.000107970091272336","3.02308061558287e-05","7.49742412803345e-06","1.64695823895444e-06","3.20444525025998e-07","5.52222471639219e-08","8.42863162597851e-09","1.13938986023854e-09","1.36411215656551e-10","1.44637635202116e-11","1.35813582602395e-12","1.1296519275561e-13","8.27116153345742e-15","5.55111512312578e-16","5.55111512312578e-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.77555756156289e-16","4.32986979603811e-15","6.222800053024e-14","7.95308263690231e-13","8.9999674379726e-12","9.01964614108408e-11","8.00541855028314e-10","6.29268909202452e-09","4.38082529141681e-08","2.70117460454689e-07","1.47514865783682e-06","7.13533427809665e-06","3.05701009476467e-05","0.000116008979443361","0.000389947562600024","0.00116104175842496","0.00306212614178841","0.00715381799552639","0.0148046307524452","0.0271398084491321","0.0440726720954693","0.0633998961305444","0.0807916830325049","0.0912021987325679","0.0912021987325679","0.0807916830325048","0.0633998961305444","0.0979395554377163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","FB","SecondsFor_5Replies","0","0","0","0","0","0","0","0","0","0.189815287962095","0.0435748448369621","0.0363310223103732","0.0268336179039286","0.0175565304419713","0.0101754408534164","0.00522419431093896","0.00237592480711118","0.000957168448286916","0.000341570791305923","0.000107970091272336","3.02308061558287e-05","7.49742412803345e-06","1.64695823895444e-06","3.20444525025998e-07","5.52222471639219e-08","8.42863162597851e-09","1.13938986023854e-09","1.36411215656551e-10","1.44637635202116e-11","1.35813582602395e-12","1.1296519275561e-13","8.27116153345742e-15","5.55111512312578e-16","5.55111512312578e-17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.77555756156289e-16","4.32986979603811e-15","6.222800053024e-14","7.95308263690231e-13","8.9999674379726e-12","9.01964614108408e-11","8.00541855028314e-10","6.29268909202452e-09","4.38082529141681e-08","2.70117460454689e-07","1.47514865783682e-06","7.13533427809665e-06","3.05701009476467e-05","0.000116008979443361","0.000389947562600024","0.00116104175842496","0.00306212614178841","0.00715381799552639","0.0148046307524452","0.0271398084491321","0.0440726720954693","0.0633998961305444","0.0807916830325049","0.0912021987325679","0.0912021987325679","0.0807916830325048","0.0633998961305444","0.0979395554377163","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","NotFB","SecondsFor2Replies","0.0802130576025595","0.0284997842360782","0.0348180311350744","0.0411942701466717","0.0471997178597252","0.0523735479753624","0.0562800668780847","0.0585689233772835","0.0590268915732746","0.0576106316460068","0.0544534556178932","0.0498446363632792","0.0441857121113546","0.0379329353838616","0.0315372779219203","0.0253927989987502","0.0198011504915917","0.0149556125401419","0.0109436420336529","0.00776357711187159","0.00534947223355675","0.00359805467956387","0.00239305296778614","0.00162399530287516","0.00119839136103161","0.00104757831065083","0.00112728154186825","0.0014141877407774","0.00189975867412884","0.00258235679630714","0.00345867321490112","0.00451549877379309","0.00572300071834175","0.00703072379553982","0.00836737408007393","0.00964497061237579","0.0107671800309945","0.0116407286826899","0.0121879593646332","0.0123581316698823","0.0121351464539984","0.0115400418425823","0.0106277129136361","0.00947855805081432","0.00818681051026549","0.00684789646047368","0.00554714593699379","0.0151125962750264","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","NotFB","SecondsFor3Replies","0","0","0","0","0.112370621530275","0.0397819044727346","0.0481690101062876","0.0563305494081158","0.0636230362588809","0.0694031131774661","0.0731202525903109","0.0744030249118573","0.073120252590311","0.0694031131774661","0.0636230362588809","0.0563305494081159","0.0481690101062876","0.15215252600301","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","NotFB","SecondsFor4Replies","0","0","0","0","0","0","0","0","0","0.0597930538352681","0.020627480326401","0.0253210296722623","0.030244412627056","0.0351509908760347","0.0397519672033245","0.0437429757818032","0.0468367417682889","0.048797063076527","0.0494685696660686","0.048797063076527","0.0468367417682889","0.0437429757818031","0.0397519672033245","0.0351509908760348","0.0302444126270559","0.0253210296722624","0.0206274803264009","0.0163508222591729","0.0126113504136469","0.00946481541217514","0.00691180127575086","0.00491132702897634","0.00339574409500232","0.0022845439550917","0.00149552100399575","0.000952607329307908","0.000590423575611232","0.000356075258045596","0.000208952803889995","0.000119311654559362","6.62896540291058e-05","3.58374263030869e-05","1.88519381092433e-05","9.64946607240336e-06","4.80594281926372e-06","2.32906657537946e-06","1.09828017047509e-06","5.03932379936067e-07","2.24987926955578e-07","9.77403598056981e-08","4.13158189882523e-08","1.69936413829674e-08","6.80117762108523e-09","2.64855692932997e-09","1.00360297849988e-09","3.70034336505398e-10","1.32754585102646e-10","4.63430405162057e-11","1.57415191992527e-11","5.20272713799841e-12","1.67321712041257e-12","5.23581178413224e-13","1.5931700403371e-13","4.72955008490317e-14","1.36557432028894e-14","3.77475828372553e-15","1.11022302462516e-15","2.22044604925031e-16","1.11022302462516e-16","0","0","0","0","0","0","0","0","0","0","0","0","1.11022302462516e-16","3.33066907387547e-16","1.33226762955019e-15","4.55191440096314e-15","1.56541446472147e-14","5.3179682879545e-14","1.74527059471075e-13","5.57776047571679e-13","1.73427938676696e-12","5.24713605898341e-12","1.54476431646344e-11","4.42514913601144e-11","1.23344778835133e-10","3.34534400181496e-10","8.82852235761789e-10","2.26705931805071e-09","5.66454705364094e-09","1.37719396997582e-08","3.25801199352327e-08","7.49959756518592e-08","1.67977459941682e-07","3.66093390158362e-07","7.76355525200501e-07","1.60198093968056e-06","3.21648869083813e-06","6.28397936974778e-06","1.19458087676216e-05","2.20965513431093e-05","3.97705515197133e-05","6.96509346300722e-05","0.000118691752681865","0.00019680785853704","0.000317535776436007","0.000498507001331916","0.000761514651697159","0.00113191469833418","0.00163710900965874","0.00230393375858362","0.00315493847072501","0.00420378347121564","0.00545027408639098","0.00687582677546705","0.00844034322408738","0.0100814708756853","0.0117169969586782","0.0132506557344415","0.0145809919272678","0.0156122472560962","0.0162656876921757","0.133244761611011"
"9","NotFB","SecondsFor5Replies","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","NotFB","SecondsFor_5Replies","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
